,strasse,"PLZ, Ort",bundesland,ansprechpartner,telefon,telefax,mail,link
0,Pulverhausstr. 38,76135 Karlsruhe,Baden-Württemberg,Dirk Holl,+49 721 61 61 61,+49 721 56 50 5-45,info@taxi-karlsruhe.de,https://www.taxi-karlsruhe.de
1,Aschmattstr. 5,76532 Baden-Baden,Baden-Württemberg,Dirk Holl,+49 7221 55 5 55,+49 7221 3 99 89 59,mail@taxi-holl.de,https://www.taxi-holl.de
2,Mühlhäuser Str. 6,99817 Eisenach,Thüringen,,+49176 68527112,,info@taxi-eisenach.com,www.taxi-eisenach.com
3,Steinheilstraße  1,85053  Ingolstadt,Bayern,Atila Dikilitas,+498419008908,,info@alphataxizentrale.de,https://alphataxizentrale.de/
4,Ruhrstraße 90,22761 Hamburg,Hamburg,Marcel und Rene Meyer,+4940 408040,+4940 82296754,info@carrycab.de,http://www.carrycab.de
5,Mayer-Alberti-Str. 25,56070 Koblenz,Rheinland-Pfalz,Mirko Ziegert,+49261 40302010,+49261 40302011,info@taxity-koblenz.de,https://taxity-koblenz.de/
6,Eugen-Richter-Str. 44,99085 Erfurt,Thüringen,,+49361 5768321 -22,+49361 5768329,info@taxi-erfurt.eu,www.taxi-erfurt.eu
7,Grabenstr. 12c,63071 Offenbach,Hessen,"A.Wehner, H.Schweitzer, H. Gessner, M. Leonhardt, M.Winter",+49 69 818 282,+49 69 83835 939,info@taxiruf-of.de,http://www.taxiruf-of.de
8,Europaplatz 1a,31812 Bad Pyrmont,Niedersachsen,,+495281 2424,+495281 8910,info@taxi-badpyrmont.de,www.taxi-badpyrmont.de
9,Wilhelm-Drapp-Str. 17b,76532 Baden-Baden,Baden-Württemberg,,+49 7221 38 111,+497221 1536,zentrale@taxi38111.de,www.taxi38111.de
10,Frankenallee 189,60326 Frankfurt am Main,Hessen,Andrea Pfaffl,+49 69 2578870 122,,kontakt@taxi-frankfurt-55.de,www.taxi-55.de
11,Hauptplatz 175,86899 Landsberg am Lech,Bayern,,08191 70101,,manfred@taxi-rieder.de,www.taxizentrale-landsberg.info
12,Chiemseestr. 6,83022 Rosenheim,Bayern,Paulo Machado,+49 (0) 8031 2309 0,+49 (0) 8031 2309 199,info@inn-taxi.de,www.inn-taxi.de
13,Walsroder Str. 62,30853 Langenhagen,Niedersachsen,,+49511 731111,+49511 7798940,verwaltung@taxi-730101.de,www.taxi-730101.de
14,Auf der Schemscheid 64,57072 Siegen,Nordrhein-Westfalen,Gerold Schmidt,+49271 3757333,+49271 31371520,gerold.schmidt@taxi-schmidt-siegen.de,http://www.taxi-schmidt-siegen.de
15,Zinkhüttenstr. 29,45473 Mülheim an der Ruhr,Nordrhein-Westfalen,Klaus Dieter Fleskes,+49208   33333,+49208  999333,info@taxi-fleskes.com,taxi-fleskes.com
16,Nassauerstr. 39,59065 Hamm,Nordrhein-Westfalen,Uwe Roemer,+492381 123 45,+492381200 36,taxen-hamm@t-online.de,
17,Rurstraße 15 a,41564 Kaarst,Nordrhein-Westfalen,Sabine Richter,+492131   69 0 69,+492131  450 420,TaxiKaarst@gmx.de,https://taxikaarst.de/
18,Buttlarstr. 33,36039 Fulda,Hessen,Herr Harpal Singh Dhillon,+49 66 1601 010,+49 66 177 002,info@taxizentrale-fulda.de,http://www.taxizentrale-fulda.de
19,Ziegelhüttenweg 22,60598 Frankfurt,Hessen,"Herr J. Ludewig, Herr Thomas Schmidt",+49 69 20 304,+49 69 6312 980,dispo@timecar.de,http://www.timecar.de
20,August-Baudert-Platz 3,99423 Weimar,Thüringen,,+493643 903600,+493643 7736862,,
21,Moritz-Nebe-Weg 5a,04824 Beucha,Sachsen,"Ines Heintke , Michael Laubitz",+49341 600500,,600500@Funktaxi-Leipzig.de,www.Funktaxi-Leipzig.de
22,Altonaer Str. 35,24534 Neumünster,Schleswig-Holstein,"Guido Maaß, Olaf Maskos, Senol Celik",+494321 5554551,+494321 5554552,zentrale@44444taxi.com,https://taxi44444.com/
23,Rathausstr. 53,66333 Völklingen,Saarland,Geschäftsführung Frau Kedid Alberts und Herr Peter Wirth,+496898 23030,+496898 87164,info@taxi-voelklingen.de,www.taxi-voelklingen.de
24,Ziegelhüttenweg 22,60598 Frankfurt am Main,Hessen,Thomas Schmidt,+49 69 68 68 68,+49 69 907437 229,auftrag@taxi68.de,www.taxi68.de
25,Schützenstr. 20,23358 Lübeck,Schleswig-Holstein,"Andreas Wagner, Jens Praefke",+49451 81122,+4945184840,info@luebecker-funktaxen.de,http://www.luebecker-funktaxen.de
26,Bebelstraße 15,99086 Erfurt,Thüringen,Wolfgang Schwuchow,+49361 55 5530,+4936155 5533,info@dascitytaxi.de,http://www.dascitytaxi.de
27,Ernst- Abbe- Platz 5,07743 Jena,Thüringen,Horst Hermann,,+493641450659,info@city-taxi-jena.de,
