store,sku,name,mpn,ean,model
admin,KB/DELL/E1000_X,Dell XPS 9550/9560/9570/7590 UK ENGLISH Backlit Keyboard - 0VC22N,VC22N,5711783871002,"Dell Keyboard, English - UK, 81 Keys, Backlit, (M15NSC - BU)"
admin,KB/DELL/E1001_X,Dell Latitude E6220/E6230 UK ENGLISH Win 8/10 Laptop Keyboard - 0FWJJ4,FWJJ4,5711045843983,Dell Keyboard (ENGLISH)
admin,KB/DELL/E1002_X,Dell Inspiron Mini 9-910 / Vostro A90 UK ENGLISH Laptop/Netbook Keyboard - 0P719H,P719H,5704327860693,"Dell Keyboard (English), Black"
admin,KB/DELL/E1003_X,Dell XPS 9343/9350/9360 UK ENGLISH Backlit Keyboard - 07DTJ4,7DTJ4,5712505805091,Dell Keyboard (ENGLISH)
admin,KB/DELL/E1004_X,Dell Inspiron 14z-1470//15z-1570 UK ENGLISH Laptop Keyboard - 0PPVVD,PPVVD,,"Dell Keyboard (English), Black"
admin,KB/DELL/E1005_X,Dell Latitude E6220/E6230 UK ENGLISH Laptop Keyboard - 0CJKX4,CJKX4,5711045276484,Dell Keyboard (ENGLISH)
admin,KB/DELL/E1006_X,Dell Inspiron 11-3147/3148 UK ENGLISH Laptop Keyboard - VPP54,VPP54,,
admin,KB/DELL/E1007_X,Dell Latitude E4200 UK ENGLISH Laptop Keyboard - 0X541D,X541D,5711045165818,Dell Keyboard (ENGLISH)
admin,KB/DELL/E1008_X,Dell Adamo 13 Onyx UK ENGLISH Backlit Laptop Keyboard - 0U111J,U111J,,"Dell Keyboard (English), Black"
admin,KB/DELL/E1009_X,Dell Latitude E6220/E6230 UK ENGLISH Laptop Win8/10 Laptop Backlit Keyboard - 00HPDH,0HPDH,5712505321935,"Dell Keyboard (English), Black"
admin,KB/DELL/E1010_X,Dell Latitude XT/XT2/XFR UK ENGLISH Keyboard Laptop - Y806D,Y806D,,
admin,KB/DELL/E1010B_X,Dell Latitude XT/XT2/XFR UK ENGLISH Keyboard Laptop - Y806D,Y806D,,
admin,KB/DELL/E1011_X,Dell Latitude E4300 UK ENGLISH Backlit Laptop Keyboard - 0DW466,DW466,,
admin,KB/DELL/E1012_X,Dell Latitude E4300 UK ENGLISH Laptop Keyboard - 0C441C,C441C,,
admin,KB/DELL/E1013_X,Dell Latitude 5280/5288/5289/5290 UK ENGLISH Backlit Keyboard - 0JF8W7,JF8W7,,
